ano,procedimento,count_total,count_critic,percent,slope,intercept,trend
2010,C_,19876,3844,0.19339907426041458,0.002542584546678255,-4.9077839771051215,0.20281096171817037
2010,N&C,94028,14438,0.15355000638107796,0.006958149330519321,-13.82437259456447,0.16150755977936448
2010,N_,74152,10594,0.14286870212536412,0.00806147025667234,-16.052835266804077,0.15071994910732656
2011,C_,19407,3964,0.20425619621785954,0.002542584546678255,-4.9077839771051215,0.20535354626484903
2011,N&C,93490,15299,0.16364317039255535,0.006958149330519321,-13.82437259456447,0.1684657091098849
2011,N_,74083,11335,0.15300406301040725,0.00806147025667234,-16.052835266804077,0.1587814193640007
2012,C_,18019,3754,0.20833564570730895,0.002542584546678255,-4.9077839771051215,0.2078961308115268
2012,N&C,88176,15813,0.17933451279259663,0.006958149330519321,-13.82437259456447,0.17542385844040354
2012,N_,70157,12059,0.17188591302364697,0.00806147025667234,-16.052835266804077,0.1668428896206713
2013,C_,19648,4173,0.2123880293159609,0.002542584546678255,-4.9077839771051215,0.21043871535820546
2013,N&C,93805,17564,0.1872394861681147,0.006958149330519321,-13.82437259456447,0.18238200777092395
2013,N_,74157,13391,0.18057634478201653,0.00806147025667234,-16.052835266804077,0.17490435987734543
2014,C_,20355,4249,0.20874478015229672,0.002542584546678255,-4.9077839771051215,0.21298129990488412
2014,N&C,100643,19001,0.1887960414534543,0.006958149330519321,-13.82437259456447,0.18934015710144259
2014,N_,80288,14752,0.1837385412514946,0.00806147025667234,-16.052835266804077,0.18296583013401602
2015,C_,22038,5065,0.2298302931300481,0.002542584546678255,-4.9077839771051215,0.2155238844515619
2015,N&C,103592,21426,0.20683064329291836,0.006958149330519321,-13.82437259456447,0.19629830643196122
2015,N_,81554,16361,0.2006155430757535,0.00806147025667234,-16.052835266804077,0.19102730039069016
2016,C_,21235,5054,0.2380032964445491,0.002542584546678255,-4.9077839771051215,0.21806646899824056
2016,N&C,98582,20618,0.20914568582499848,0.006958149330519321,-13.82437259456447,0.20325645576248164
2016,N_,77347,15564,0.20122305971789467,0.00806147025667234,-16.052835266804077,0.19908877064736075
2017,C_,30985,6625,0.21381313538809102,0.002542584546678255,-4.9077839771051215,0.22060905354491833
2017,N&C,107803,22561,0.20927989017003237,0.006958149330519321,-13.82437259456447,0.21021460509300027
2017,N_,76818,15936,0.20745137858314458,0.00806147025667234,-16.052835266804077,0.2071502409040349
2018,C_,40177,8823,0.21960325559399657,0.002542584546678255,-4.9077839771051215,0.223151638091597
2018,N&C,115644,24938,0.21564456435266854,0.006958149330519321,-13.82437259456447,0.2171727544235189
2018,N_,75467,16115,0.2135370426809069,0.00806147025667234,-16.052835266804077,0.21521171116070548
2019,C_,42269,9052,0.21415221557169556,0.002542584546678255,-4.9077839771051215,0.22569422263827477
2019,N&C,114582,24604,0.21472831683859595,0.006958149330519321,-13.82437259456447,0.22413090375403932
2019,N_,72313,15552,0.21506506437293432,0.00806147025667234,-16.052835266804077,0.22327318141737962
